"age_c" "gender_c" "occupation_c" "population"
"2458" "25 to 35" "Male" "Karrenverhuurders" 6
"2459" "36 to 50" "Male" "Karrenverhuurders" 16
"2460" "51 to 60" "Male" "Karrenverhuurders" 10
"2461" "61 to 65" "Male" "Karrenverhuurders" 5
"2462" "66 to 70" "Male" "Karrenverhuurders" 4
"2463" "25 to 35" "Female" "Karrenverhuurders" 1
"2464" "36 to 50" "Female" "Karrenverhuurders" 1
"2465" "51 to 60" "Female" "Karrenverhuurders" 3
"2466" "61 to 65" "Female" "Karrenverhuurders" 1
"2467" "12" "Male" "Katoendrukkers" 3
"2468" "13" "Male" "Katoendrukkers" 4
"2469" "14 to 15" "Male" "Katoendrukkers" 3
"2470" "16 to 17" "Male" "Katoendrukkers" 2
"2471" "18 to 22" "Male" "Katoendrukkers" 4
"2472" "23 to 24" "Male" "Katoendrukkers" 1
"2473" "25 to 35" "Male" "Katoendrukkers" 5
"2474" "36 to 50" "Male" "Katoendrukkers" 3
"2475" "51 to 60" "Male" "Katoendrukkers" 6
"2476" "16 to 17" "Male" "Kegeljongens" 1
"2477" "18 to 22" "Male" "Kegeljongens" 1
"2478" "51 to 60" "Male" "Kegeljongens" 1
"2479" "12" "Male" "Kellners en kelnerinnen" 2
"2480" "13" "Male" "Kellners en kelnerinnen" 2
"2481" "14 to 15" "Male" "Kellners en kelnerinnen" 40
"2482" "16 to 17" "Male" "Kellners en kelnerinnen" 83
"2483" "18 to 22" "Male" "Kellners en kelnerinnen" 233
"2484" "23 to 24" "Male" "Kellners en kelnerinnen" 127
"2485" "25 to 35" "Male" "Kellners en kelnerinnen" 510
"2486" "36 to 50" "Male" "Kellners en kelnerinnen" 388
"2487" "51 to 60" "Male" "Kellners en kelnerinnen" 59
"2488" "61 to 65" "Male" "Kellners en kelnerinnen" 18
"2489" "66 to 70" "Male" "Kellners en kelnerinnen" 8
"2490" "13" "Female" "Kellners en kelnerinnen" 2
"2491" "16 to 17" "Female" "Kellners en kelnerinnen" 4
"2492" "18 to 22" "Female" "Kellners en kelnerinnen" 47
"2493" "23 to 24" "Female" "Kellners en kelnerinnen" 26
"2494" "25 to 35" "Female" "Kellners en kelnerinnen" 34
"2495" "36 to 50" "Female" "Kellners en kelnerinnen" 2
"2496" "51 to 60" "Female" "Kellners en kelnerinnen" 1
"2497" "66 to 70" "Female" "Kellners en kelnerinnen" 1
"2498" "16 to 17" "Male" "Ketelbikkers" 1
"2499" "23 to 24" "Male" "Ketelbikkers" 1
"2500" "12" "Male" "Ketelmakers" 2
"2501" "13" "Male" "Ketelmakers" 9
"2502" "14 to 15" "Male" "Ketelmakers" 33
"2503" "16 to 17" "Male" "Ketelmakers" 35
"2504" "18 to 22" "Male" "Ketelmakers" 66
"2505" "23 to 24" "Male" "Ketelmakers" 38
"2506" "25 to 35" "Male" "Ketelmakers" 159
"2507" "36 to 50" "Male" "Ketelmakers" 150
"2508" "51 to 60" "Male" "Ketelmakers" 124
"2509" "61 to 65" "Male" "Ketelmakers" 8
"2510" "66 to 70" "Male" "Ketelmakers" 2
"2511" "12" "Female" "Kioskjuffrouwen" 1
"2512" "25 to 35" "Female" "Kioskjuffrouwen" 1
"2513" "36 to 50" "Female" "Kioskjuffrouwen" 7
"2514" "51 to 60" "Female" "Kioskjuffrouwen" 3
"2515" "12" "Male" "Kleermakers" 20
"2516" "13" "Male" "Kleermakers" 79
"2517" "14 to 15" "Male" "Kleermakers" 234
"2518" "16 to 17" "Male" "Kleermakers" 246
"2519" "18 to 22" "Male" "Kleermakers" 634
"2520" "23 to 24" "Male" "Kleermakers" 224
"2521" "25 to 35" "Male" "Kleermakers" 1273
"2522" "36 to 50" "Male" "Kleermakers" 1161
"2523" "51 to 60" "Male" "Kleermakers" 592
"2524" "61 to 65" "Male" "Kleermakers" 255
"2525" "66 to 70" "Male" "Kleermakers" 206
"2526" "Older than 70" "Male" "Kleermakers" 151
"2527" "13" "Female" "Kleermakers" 2
"2528" "14 to 15" "Female" "Kleermakers" 3
"2529" "16 to 17" "Female" "Kleermakers" 1
"2530" "18 to 22" "Female" "Kleermakers" 6
"2531" "23 to 24" "Female" "Kleermakers" 1
"2532" "25 to 35" "Female" "Kleermakers" 4
"2533" "36 to 50" "Female" "Kleermakers" 1
"2534" "51 to 60" "Female" "Kleermakers" 2
"2535" "61 to 65" "Female" "Kleermakers" 1
"2536" "Older than 70" "Female" "Kleermakers" 1
"2537" "16 to 17" "Male" "Klompenmakers" 1
"2538" "18 to 22" "Male" "Klompenmakers" 1
"2539" "23 to 24" "Male" "Klompenmakers" 1
"2540" "25 to 35" "Male" "Klompenmakers" 3
"2541" "36 to 50" "Male" "Klompenmakers" 1
"2542" "12" "Male" "Koek- en banketbakkers" 4
"2543" "13" "Male" "Koek- en banketbakkers" 19
"2544" "14 to 15" "Male" "Koek- en banketbakkers" 58
"2545" "16 to 17" "Male" "Koek- en banketbakkers" 84
"2546" "18 to 22" "Male" "Koek- en banketbakkers" 148
"2547" "23 to 24" "Male" "Koek- en banketbakkers" 67
"2548" "25 to 35" "Male" "Koek- en banketbakkers" 177
"2549" "36 to 50" "Male" "Koek- en banketbakkers" 188
"2550" "51 to 60" "Male" "Koek- en banketbakkers" 59
"2551" "61 to 65" "Male" "Koek- en banketbakkers" 16
"2552" "66 to 70" "Male" "Koek- en banketbakkers" 8
"2553" "Older than 70" "Male" "Koek- en banketbakkers" 2
"2554" "23 to 24" "Female" "Koek- en banketbakkers" 1
"2555" "36 to 50" "Female" "Koek- en banketbakkers" 2
"2556" "51 to 60" "Female" "Koek- en banketbakkers" 1
"2557" "14 to 15" "Male" "Koetsiers" 2
"2558" "16 to 17" "Male" "Koetsiers" 9
"2559" "18 to 22" "Male" "Koetsiers" 34
"2560" "23 to 24" "Male" "Koetsiers" 34
"2561" "25 to 35" "Male" "Koetsiers" 151
"2562" "36 to 50" "Male" "Koetsiers" 109
"2563" "51 to 60" "Male" "Koetsiers" 27
"2564" "61 to 65" "Male" "Koetsiers" 10
"2565" "66 to 70" "Male" "Koetsiers" 2
"2566" "Older than 70" "Male" "Koetsiers" 1
"2567" "13" "Male" "Koffermakers" 2
"2568" "14 to 15" "Male" "Koffermakers" 5
"2569" "16 to 17" "Male" "Koffermakers" 2
"2570" "18 to 22" "Male" "Koffermakers" 10
"2571" "23 to 24" "Male" "Koffermakers" 3
"2572" "25 to 35" "Male" "Koffermakers" 14
"2573" "36 to 50" "Male" "Koffermakers" 13
"2574" "51 to 60" "Male" "Koffermakers" 6
"2575" "51 to 60" "Female" "Koffermakers" 1
"2576" "16 to 17" "Male" "Koffiebranders" 2
"2577" "18 to 22" "Male" "Koffiebranders" 4
"2578" "23 to 24" "Male" "Koffiebranders" 6
"2579" "25 to 35" "Male" "Koffiebranders" 14
"2580" "36 to 50" "Male" "Koffiebranders" 17
"2581" "51 to 60" "Male" "Koffiebranders" 11
"2582" "66 to 70" "Male" "Koffiebranders" 1
"2583" "13" "Female" "Koffiebranders" 1
"2584" "14 to 15" "Female" "Koffiebranders" 1
"2585" "16 to 17" "Female" "Koffiebranders" 2
"2586" "18 to 22" "Female" "Koffiebranders" 14
"2587" "23 to 24" "Female" "Koffiebranders" 3
"2588" "25 to 35" "Female" "Koffiebranders" 3
"2589" "36 to 50" "Female" "Koffiebranders" 1
"2590" "61 to 65" "Female" "Koffiebranders" 1
"2591" "16 to 17" "Male" "Koffiehuishouders" 1
"2592" "18 to 22" "Male" "Koffiehuishouders" 6
"2593" "23 to 24" "Male" "Koffiehuishouders" 9
"2594" "25 to 35" "Male" "Koffiehuishouders" 126
"2595" "36 to 50" "Male" "Koffiehuishouders" 262
"2596" "51 to 60" "Male" "Koffiehuishouders" 98
"2597" "61 to 65" "Male" "Koffiehuishouders" 17
"2598" "66 to 70" "Male" "Koffiehuishouders" 15
"2599" "Older than 70" "Male" "Koffiehuishouders" 2
"2600" "18 to 22" "Female" "Koffiehuishouders" 3
"2601" "23 to 24" "Female" "Koffiehuishouders" 4
"2602" "25 to 35" "Female" "Koffiehuishouders" 38
"2603" "36 to 50" "Female" "Koffiehuishouders" 74
"2604" "51 to 60" "Female" "Koffiehuishouders" 24
"2605" "61 to 65" "Female" "Koffiehuishouders" 4
"2606" "66 to 70" "Female" "Koffiehuishouders" 5
"2607" "Older than 70" "Female" "Koffiehuishouders" 2
"2608" "23 to 24" "Male" "Koffiepellers" 1
"2609" "25 to 35" "Male" "Koffiepellers" 6
"2610" "36 to 50" "Male" "Koffiepellers" 1
"2611" "51 to 60" "Male" "Koffiepellers" 3
"2612" "61 to 65" "Male" "Koffiepellers" 1
"2613" "16 to 17" "Female" "Koffiepellers" 1
"2614" "18 to 22" "Female" "Koffiepellers" 1
"2615" "23 to 24" "Female" "Koffiepellers" 2
"2616" "25 to 35" "Female" "Koffiepellers" 1
"2617" "18 to 22" "Male" "Koffiesorteerders" 1
"2618" "25 to 35" "Male" "Koffiesorteerders" 4
"2619" "36 to 50" "Male" "Koffiesorteerders" 4
"2620" "51 to 60" "Male" "Koffiesorteerders" 4
"2621" "61 to 65" "Male" "Koffiesorteerders" 2
"2622" "66 to 70" "Male" "Koffiesorteerders" 1
"2623" "13" "Female" "Koffiesorteerders" 1
"2624" "14 to 15" "Female" "Koffiesorteerders" 9
"2625" "16 to 17" "Female" "Koffiesorteerders" 7
"2626" "18 to 22" "Female" "Koffiesorteerders" 42
"2627" "23 to 24" "Female" "Koffiesorteerders" 8
"2628" "25 to 35" "Female" "Koffiesorteerders" 20
"2629" "36 to 50" "Female" "Koffiesorteerders" 8
"2630" "51 to 60" "Female" "Koffiesorteerders" 3
"2631" "66 to 70" "Female" "Koffiesorteerders" 1
"2632" "Older than 70" "Female" "Koffiesorteerders" 1
"2633" "14 to 15" "Male" "Koks en kooksters" 9
"2634" "16 to 17" "Male" "Koks en kooksters" 15
"2635" "18 to 22" "Male" "Koks en kooksters" 69
"2636" "23 to 24" "Male" "Koks en kooksters" 25
"2637" "25 to 35" "Male" "Koks en kooksters" 84
"2638" "36 to 50" "Male" "Koks en kooksters" 66
"2639" "51 to 60" "Male" "Koks en kooksters" 23
"2640" "61 to 65" "Male" "Koks en kooksters" 6
"2641" "66 to 70" "Male" "Koks en kooksters" 9
"2642" "Older than 70" "Male" "Koks en kooksters" 1
"2643" "16 to 17" "Female" "Koks en kooksters" 1
"2644" "18 to 22" "Female" "Koks en kooksters" 4
"2645" "25 to 35" "Female" "Koks en kooksters" 7
"2646" "36 to 50" "Female" "Koks en kooksters" 13
"2647" "51 to 60" "Female" "Koks en kooksters" 12
"2648" "61 to 65" "Female" "Koks en kooksters" 3
"2649" "Older than 70" "Female" "Koks en kooksters" 1
"2650" "25 to 35" "Male" "Kolenbranders" 2
"2651" "36 to 50" "Male" "Kolenbranders" 1
"2652" "51 to 60" "Male" "Kolenbranders" 1
"2653" "23 to 24" "Male" "Kolenwerkers" 1
"2654" "25 to 35" "Male" "Kolenwerkers" 2
"2655" "36 to 50" "Male" "Kolenwerkers" 2
"2656" "51 to 60" "Male" "Kolenwerkers" 2
"2657" "13" "Male" "Kooplieden" 3
"2658" "14 to 15" "Male" "Kooplieden" 18
"2659" "16 to 17" "Male" "Kooplieden" 54
"2660" "18 to 22" "Male" "Kooplieden" 286
"2661" "23 to 24" "Male" "Kooplieden" 208
"2662" "25 to 35" "Male" "Kooplieden" 1743
"2663" "36 to 50" "Male" "Kooplieden" 2386
"2664" "51 to 60" "Male" "Kooplieden" 1163
"2665" "61 to 65" "Male" "Kooplieden" 411
"2666" "66 to 70" "Male" "Kooplieden" 224
"2667" "Older than 70" "Male" "Kooplieden" 130
"2668" "14 to 15" "Female" "Kooplieden" 1
"2669" "16 to 17" "Female" "Kooplieden" 12
"2670" "18 to 22" "Female" "Kooplieden" 43
"2671" "23 to 24" "Female" "Kooplieden" 20
"2672" "25 to 35" "Female" "Kooplieden" 123
"2673" "36 to 50" "Female" "Kooplieden" 319
"2674" "51 to 60" "Female" "Kooplieden" 178
"2675" "61 to 65" "Female" "Kooplieden" 64
"2676" "66 to 70" "Female" "Kooplieden" 45
"2677" "Older than 70" "Female" "Kooplieden" 30
"2678" "25 to 35" "Male" "Koperdraaiers" 2
"2679" "12" "Male" "Kopergieters en smelters" 2
"2680" "13" "Male" "Kopergieters en smelters" 7
"2681" "14 to 15" "Male" "Kopergieters en smelters" 9
"2682" "16 to 17" "Male" "Kopergieters en smelters" 9
"2683" "18 to 22" "Male" "Kopergieters en smelters" 9
"2684" "23 to 24" "Male" "Kopergieters en smelters" 4
"2685" "25 to 35" "Male" "Kopergieters en smelters" 20
"2686" "36 to 50" "Male" "Kopergieters en smelters" 26
"2687" "51 to 60" "Male" "Kopergieters en smelters" 15
"2688" "61 to 65" "Male" "Kopergieters en smelters" 5
"2689" "66 to 70" "Male" "Kopergieters en smelters" 6
"2690" "25 to 35" "Male" "Koperpletters" 2
"2691" "36 to 50" "Male" "Koperpletters" 2
"2692" "51 to 60" "Male" "Koperpletters" 1
"2693" "66 to 70" "Male" "Koperpletters" 1
"2694" "12" "Male" "Koperslagers" 9
"2695" "13" "Male" "Koperslagers" 26
"2696" "14 to 15" "Male" "Koperslagers" 49
"2697" "16 to 17" "Male" "Koperslagers" 30
"2698" "18 to 22" "Male" "Koperslagers" 90
"2699" "23 to 24" "Male" "Koperslagers" 27
"2700" "25 to 35" "Male" "Koperslagers" 150
"2701" "36 to 50" "Male" "Koperslagers" 178
"2702" "51 to 60" "Male" "Koperslagers" 67
"2703" "61 to 65" "Male" "Koperslagers" 23
"2704" "66 to 70" "Male" "Koperslagers" 12
"2705" "Older than 70" "Male" "Koperslagers" 8
"2706" "18 to 22" "Female" "Koperslagers" 1
"2707" "25 to 35" "Female" "Koperslagers" 1
"2708" "36 to 50" "Female" "Koperslagers" 1
"2709" "25 to 35" "Male" "Kraansluiters (waterleiding)" 2
"2710" "36 to 50" "Male" "Kraansluiters (waterleiding)" 4
"2711" "51 to 60" "Male" "Kraansluiters (waterleiding)" 1
"2712" "61 to 65" "Male" "Kraansluiters (waterleiding)" 1
"2713" "12" "Male" "Kramers en rondventers" 10
"2714" "13" "Male" "Kramers en rondventers" 14
"2715" "14 to 15" "Male" "Kramers en rondventers" 35
"2716" "16 to 17" "Male" "Kramers en rondventers" 97
"2717" "18 to 22" "Male" "Kramers en rondventers" 156
"2718" "23 to 24" "Male" "Kramers en rondventers" 55
"2719" "25 to 35" "Male" "Kramers en rondventers" 266
"2720" "36 to 50" "Male" "Kramers en rondventers" 396
"2721" "51 to 60" "Male" "Kramers en rondventers" 223
"2722" "61 to 65" "Male" "Kramers en rondventers" 81
"2723" "66 to 70" "Male" "Kramers en rondventers" 49
"2724" "Older than 70" "Male" "Kramers en rondventers" 28
"2725" "13" "Female" "Kramers en rondventers" 3
"2726" "14 to 15" "Female" "Kramers en rondventers" 9
"2727" "16 to 17" "Female" "Kramers en rondventers" 9
"2728" "18 to 22" "Female" "Kramers en rondventers" 18
"2729" "Younger than 12" "Female" "Kramers en rondventers" 1
"2730" "23 to 24" "Female" "Kramers en rondventers" 4
"2731" "25 to 35" "Female" "Kramers en rondventers" 40
"2732" "36 to 50" "Female" "Kramers en rondventers" 85
"2733" "51 to 60" "Female" "Kramers en rondventers" 88
"2734" "61 to 65" "Female" "Kramers en rondventers" 44
"2735" "66 to 70" "Female" "Kramers en rondventers" 29
"2736" "Older than 70" "Female" "Kramers en rondventers" 16
"2737" "18 to 22" "Male" "Krammers van aardewerk" 1
"2738" "36 to 50" "Male" "Krammers van aardewerk" 2
"2739" "12" "Male" "Kruiers" 2
"2740" "13" "Male" "Kruiers" 2
"2741" "14 to 15" "Male" "Kruiers" 4
"2742" "16 to 17" "Male" "Kruiers" 20
"2743" "18 to 22" "Male" "Kruiers" 56
"2744" "23 to 24" "Male" "Kruiers" 43
"2745" "25 to 35" "Male" "Kruiers" 210
"2746" "36 to 50" "Male" "Kruiers" 241
"2747" "51 to 60" "Male" "Kruiers" 109
"2748" "61 to 65" "Male" "Kruiers" 44
"2749" "66 to 70" "Male" "Kruiers" 21
"2750" "Older than 70" "Male" "Kruiers" 8
"2751" "25 to 35" "Female" "Kruiers" 2
"2752" "36 to 50" "Female" "Kruiers" 8
"2753" "51 to 60" "Female" "Kruiers" 12
"2754" "61 to 65" "Female" "Kruiers" 2
"2755" "66 to 70" "Female" "Kruiers" 5
"2756" "Older than 70" "Female" "Kruiers" 1
"2757" "12" "Male" "Kuipers" 8
"2758" "13" "Male" "Kuipers" 26
"2759" "14 to 15" "Male" "Kuipers" 80
"2760" "16 to 17" "Male" "Kuipers" 103
"2761" "18 to 22" "Male" "Kuipers" 113
"2762" "23 to 24" "Male" "Kuipers" 41
"2763" "25 to 35" "Male" "Kuipers" 202
"2764" "36 to 50" "Male" "Kuipers" 288
"2765" "51 to 60" "Male" "Kuipers" 112
"2766" "61 to 65" "Male" "Kuipers" 47
"2767" "66 to 70" "Male" "Kuipers" 32
"2768" "Older than 70" "Male" "Kuipers" 15
"2769" "36 to 50" "Female" "Kuipers" 3
"2770" "Older than 70" "Female" "Kuipers" 1
"2771" "18 to 22" "Male" "Kwartiermeesters (zeevaart)" 3
"2772" "23 to 24" "Male" "Kwartiermeesters (zeevaart)" 1
"2773" "25 to 35" "Male" "Kwartiermeesters (zeevaart)" 10
"2774" "36 to 50" "Male" "Kwartiermeesters (zeevaart)" 15
"2775" "61 to 65" "Male" "Kwartiermeesters (zeevaart)" 2
"2776" "12" "Male" "Landbouwers" 2
"2777" "13" "Male" "Landbouwers" 2
"2778" "14 to 15" "Male" "Landbouwers" 14
"2779" "16 to 17" "Male" "Landbouwers" 22
"2780" "18 to 22" "Male" "Landbouwers" 51
"2781" "23 to 24" "Male" "Landbouwers" 17
"2782" "25 to 35" "Male" "Landbouwers" 69
"2783" "36 to 50" "Male" "Landbouwers" 96
"2784" "51 to 60" "Male" "Landbouwers" 43
"2785" "61 to 65" "Male" "Landbouwers" 22
"2786" "66 to 70" "Male" "Landbouwers" 7
"2787" "Older than 70" "Male" "Landbouwers" 12
"2788" "13" "Female" "Landbouwers" 1
"2789" "18 to 22" "Female" "Landbouwers" 1
"2790" "36 to 50" "Female" "Landbouwers" 1
"2791" "51 to 60" "Female" "Landbouwers" 1
"2792" "14 to 15" "Male" "Leerlooiers" 2
"2793" "16 to 17" "Male" "Leerlooiers" 1
"2794" "18 to 22" "Male" "Leerlooiers" 4
"2795" "23 to 24" "Male" "Leerlooiers" 3
"2796" "25 to 35" "Male" "Leerlooiers" 13
"2797" "36 to 50" "Male" "Leerlooiers" 24
"2798" "51 to 60" "Male" "Leerlooiers" 6
"2799" "61 to 65" "Male" "Leerlooiers" 2
"2800" "66 to 70" "Male" "Leerlooiers" 1
"2801" "Older than 70" "Male" "Leerlooiers" 2
"2802" "25 to 35" "Male" "Lettergieters" 2
"2803" "Older than 70" "Male" "Lettergieters" 1
"2804" "25 to 35" "Male" "Letterzetters" 3
"2805" "36 to 50" "Male" "Letterzetters" 2
"2806" "51 to 60" "Male" "Letterzetters" 1
"2807" "61 to 65" "Male" "Letterzetters" 1
"2808" "14 to 15" "Male" "Linieerders" 1
"2809" "16 to 17" "Male" "Linieerders" 2
"2810" "36 to 50" "Male" "Linieerders" 8
"2811" "51 to 60" "Male" "Linieerders" 2
"2812" "66 to 70" "Male" "Linieerders" 1
"2813" "Older than 70" "Male" "Linieerders" 1
"2814" "12" "Male" "Loodgieters" 9
"2815" "13" "Male" "Loodgieters" 25
"2816" "14 to 15" "Male" "Loodgieters" 98
"2817" "16 to 17" "Male" "Loodgieters" 106
"2818" "18 to 22" "Male" "Loodgieters" 247
"2819" "23 to 24" "Male" "Loodgieters" 70
"2820" "25 to 35" "Male" "Loodgieters" 355
"2821" "36 to 50" "Male" "Loodgieters" 235
"2822" "51 to 60" "Male" "Loodgieters" 87
"2823" "61 to 65" "Male" "Loodgieters" 35
"2824" "66 to 70" "Male" "Loodgieters" 14
"2825" "Older than 70" "Male" "Loodgieters" 6
"2826" "36 to 50" "Female" "Loodgieters" 1
"2827" "51 to 60" "Female" "Loodgieters" 1
"2828" "61 to 65" "Female" "Loodgieters" 1
"2829" "13" "Male" "Loodpletters" 1
"2830" "14 to 15" "Male" "Loodpletters" 2
"2831" "16 to 17" "Male" "Loodpletters" 6
"2832" "18 to 22" "Male" "Loodpletters" 4
"2833" "23 to 24" "Male" "Loodpletters" 7
"2834" "25 to 35" "Male" "Loodpletters" 8
"2835" "36 to 50" "Male" "Loodpletters" 12
"2836" "51 to 60" "Male" "Loodpletters" 4
"2837" "61 to 65" "Male" "Loodpletters" 2
"2838" "66 to 70" "Male" "Loodpletters" 1
"2839" "36 to 50" "Male" "Loodpunters" 1
"2840" "66 to 70" "Male" "Loodsen (particuliere)" 1
"2841" "16 to 17" "Male" "Loodsmelters" 1
"2842" "36 to 50" "Male" "Loodsmelters" 1
"2843" "12" "Male" "Loopknechts en pakkendragers" 102
"2844" "13" "Male" "Loopknechts en pakkendragers" 220
"2845" "14 to 15" "Male" "Loopknechts en pakkendragers" 592
"2846" "16 to 17" "Male" "Loopknechts en pakkendragers" 479
"2847" "18 to 22" "Male" "Loopknechts en pakkendragers" 638
"2848" "23 to 24" "Male" "Loopknechts en pakkendragers" 166
"2849" "25 to 35" "Male" "Loopknechts en pakkendragers" 730
"2850" "36 to 50" "Male" "Loopknechts en pakkendragers" 781
"2851" "51 to 60" "Male" "Loopknechts en pakkendragers" 332
"2852" "61 to 65" "Male" "Loopknechts en pakkendragers" 142
"2853" "66 to 70" "Male" "Loopknechts en pakkendragers" 66
"2854" "Older than 70" "Male" "Loopknechts en pakkendragers" 61
"2855" "12" "Female" "Loopknechts en pakkendragers" 12
"2856" "13" "Female" "Loopknechts en pakkendragers" 34
"2857" "14 to 15" "Female" "Loopknechts en pakkendragers" 54
"2858" "16 to 17" "Female" "Loopknechts en pakkendragers" 35
"2859" "18 to 22" "Female" "Loopknechts en pakkendragers" 18
"2860" "23 to 24" "Female" "Loopknechts en pakkendragers" 6
"2861" "25 to 35" "Female" "Loopknechts en pakkendragers" 6
"2862" "36 to 50" "Female" "Loopknechts en pakkendragers" 17
"2863" "51 to 60" "Female" "Loopknechts en pakkendragers" 21
"2864" "61 to 65" "Female" "Loopknechts en pakkendragers" 8
"2865" "66 to 70" "Female" "Loopknechts en pakkendragers" 7
"2866" "Older than 70" "Female" "Loopknechts en pakkendragers" 4
"2867" "23 to 24" "Male" "Machinisten" 2
"2868" "25 to 35" "Male" "Machinisten" 6
"2869" "36 to 50" "Male" "Machinisten" 7
"2870" "16 to 17" "Male" "Machinisten (stoomvaart)" 8
"2871" "18 to 22" "Male" "Machinisten (stoomvaart)" 28
"2872" "23 to 24" "Male" "Machinisten (stoomvaart)" 22
"2873" "25 to 35" "Male" "Machinisten (stoomvaart)" 115
"2874" "36 to 50" "Male" "Machinisten (stoomvaart)" 94
"2875" "51 to 60" "Male" "Machinisten (stoomvaart)" 25
"2876" "61 to 65" "Male" "Machinisten (stoomvaart)" 1
"2877" "66 to 70" "Male" "Machinisten (stoomvaart)" 5
"2878" "12" "Male" "Magazijn- en pakhuisknechts" 3
"2879" "13" "Male" "Magazijn- en pakhuisknechts" 19
"2880" "14 to 15" "Male" "Magazijn- en pakhuisknechts" 96
"2881" "16 to 17" "Male" "Magazijn- en pakhuisknechts" 178
"2882" "18 to 22" "Male" "Magazijn- en pakhuisknechts" 496
"2883" "23 to 24" "Male" "Magazijn- en pakhuisknechts" 197
"2884" "25 to 35" "Male" "Magazijn- en pakhuisknechts" 858
"2885" "36 to 50" "Male" "Magazijn- en pakhuisknechts" 929
"2886" "51 to 60" "Male" "Magazijn- en pakhuisknechts" 425
"2887" "61 to 65" "Male" "Magazijn- en pakhuisknechts" 146
"2888" "66 to 70" "Male" "Magazijn- en pakhuisknechts" 75
"2889" "Older than 70" "Male" "Magazijn- en pakhuisknechts" 44
"2890" "16 to 17" "Female" "Magazijn- en pakhuisknechts" 1
"2891" "18 to 22" "Female" "Magazijn- en pakhuisknechts" 2
"2892" "23 to 24" "Female" "Magazijn- en pakhuisknechts" 2
"2893" "36 to 50" "Female" "Magazijn- en pakhuisknechts" 1
"2894" "23 to 24" "Male" "Magazijnmeesters (scheepvaart) " 1
"2895" "25 to 35" "Male" "Magazijnmeesters (scheepvaart) " 5
"2896" "36 to 50" "Male" "Magazijnmeesters (scheepvaart) " 5
"2897" "51 to 60" "Male" "Magazijnmeesters (scheepvaart) " 2
"2898" "18 to 22" "Male" "Makelaars" 4
"2899" "23 to 24" "Male" "Makelaars" 16
"2900" "25 to 35" "Male" "Makelaars" 193
"2901" "36 to 50" "Male" "Makelaars" 300
"2902" "51 to 60" "Male" "Makelaars" 156
"2903" "61 to 65" "Male" "Makelaars" 45
"2904" "66 to 70" "Male" "Makelaars" 26
"2905" "Older than 70" "Male" "Makelaars" 23
"2906" "51 to 60" "Female" "Makelaars" 1
"2907" "25 to 35" "Male" "Mangellieden" 4
"2908" "36 to 50" "Male" "Mangellieden" 9
"2909" "51 to 60" "Male" "Mangellieden" 6
"2910" "61 to 65" "Male" "Mangellieden" 4
"2911" "66 to 70" "Male" "Mangellieden" 4
"2912" "Older than 70" "Male" "Mangellieden" 3
"2913" "18 to 22" "Female" "Mangellieden" 6
"2914" "23 to 24" "Female" "Mangellieden" 3
"2915" "25 to 35" "Female" "Mangellieden" 37
"2916" "36 to 50" "Female" "Mangellieden" 152
"2917" "51 to 60" "Female" "Mangellieden" 89
"2918" "61 to 65" "Female" "Mangellieden" 29
"2919" "66 to 70" "Female" "Mangellieden" 26
"2920" "Older than 70" "Female" "Mangellieden" 14
"2921" "36 to 50" "Male" "Marmerslijpers" 1
"2922" "12" "Male" "Matrozen" 13
"2923" "13" "Male" "Matrozen" 16
"2924" "14 to 15" "Male" "Matrozen" 40
"2925" "16 to 17" "Male" "Matrozen" 133
"2926" "18 to 22" "Male" "Matrozen" 417
"2927" "23 to 24" "Male" "Matrozen" 172
"2928" "25 to 35" "Male" "Matrozen" 867
"2929" "36 to 50" "Male" "Matrozen" 796
"2930" "51 to 60" "Male" "Matrozen" 245
